transaction_id,user_id,amount,channel,transaction_type,country,device_id,transaction_time,total_amount_last_24h,txn_count_last_24h
0f9a7b61-d604-4de5-a661-b257f7c92051,1,5747.75,UPI,WITHDRAWAL,IN,KNOWN-1,2026-05-25T18:38:26.443712,0,0
80fd245b-9130-425d-ba1b-b495f756963a,1,3471.69,UPI,TRANSFER,IN,KNOWN-1,2026-05-25T20:23:26.443712,5747.75,1
b818f586-dd5a-4157-8679-21e73f610aa7,1,6431.61,NET_BANKING,TRANSFER,IN,KNOWN-1,2026-05-25T21:05:26.443712,9219.44,2
68844656-28bb-485b-81bc-68a8a4af6202,1,8051.75,UPI,TRANSFER,IN,KNOWN-1,2026-05-25T21:39:26.443712,15651.05,3
abed1418-91e0-4d0f-8ab0-47519ac52d2e,1,8182.8,NET_BANKING,TRANSFER,IN,KNOWN-1,2026-05-25T22:08:26.443712,23702.8,4
52808834-3300-47f4-b2a7-667e5870ba45,1,10239.07,UPI,TRANSFER,IN,KNOWN-1,2026-05-25T23:11:26.443712,31885.6,5
e203a92c-3382-445c-90d5-1768cc010b75,1,3967.82,UPI,TRANSFER,IN,DEV-6f9549,2026-05-25T23:30:26.443712,42124.67,6
53543083-56ec-475b-8e02-ff6e55123d20,1,4086.73,UPI,WITHDRAWAL,IN,KNOWN-1,2026-05-26T00:02:26.443712,46092.49,7
f8a53d9a-4a4e-4abd-a6f0-9cfe8f1fac56,1,9664.67,UPI,TRANSFER,IN,KNOWN-1,2026-05-26T01:19:26.443712,50179.22,8
689a63e4-4171-4838-9c57-741e269f9375,1,3599.52,UPI,WITHDRAWAL,IN,DEV-313aeb,2026-05-26T02:19:26.443712,59843.89,9
da415a43-1f9b-4059-b067-674daa966965,1,3998.12,UPI,TRANSFER,IN,KNOWN-1,2026-05-26T02:45:26.443712,63443.409999999996,10
7c04e26c-b076-41a2-8bd9-a4783e6db3ee,1,7690.4,UPI,WITHDRAWAL,IN,KNOWN-1,2026-05-26T03:46:26.443712,67441.53,11
f430b46f-d1dc-4ce2-b9ea-dd5ed7a350d9,1,10191.75,UPI,DEPOSIT,IN,KNOWN-1,2026-05-26T04:54:26.443712,75131.93,12
3a3c5ab2-794d-4422-be67-71c1cee035b5,1,10284.16,UPI,TRANSFER,IN,KNOWN-1,2026-05-26T05:14:26.443712,85323.68,13
9a62e875-623e-48af-aed1-56dc3aac979f,1,10588.63,NET_BANKING,WITHDRAWAL,IN,KNOWN-1,2026-05-26T05:20:26.443712,95607.84,14
c90c5dbb-73aa-4a66-964a-7b03e9a12584,1,8860.29,UPI,WITHDRAWAL,IN,KNOWN-1,2026-05-26T06:59:26.443712,106196.47,15
2b8b442b-e6a7-4eaf-aa03-70127d3355ca,1,8386.67,UPI,TRANSFER,IN,DEV-09db13,2026-05-26T08:24:26.443712,115056.76000000001,16
b432e557-6536-46c8-bb01-a6906a4903c3,1,9514.23,CARD,DEPOSIT,IN,KNOWN-1,2026-05-26T08:40:26.443712,123443.43000000001,17
4b3942aa-4c2e-4270-a49a-c8775e809040,1,6618.86,CARD,WITHDRAWAL,IN,KNOWN-1,2026-05-26T09:51:26.443712,132957.66,18
c0db5b5b-536b-40f5-9132-c86f5a479e21,1,2554.67,UPI,WITHDRAWAL,IN,KNOWN-1,2026-05-26T11:01:26.443712,139576.52,19
5e87d77e-9124-4bcd-8e36-39ae7db7b0a5,2,8512.42,CARD,TRANSFER,IN,DEV-accd02,2026-05-25T18:07:26.444001,0,0
db16fd16-57b8-4bc6-8496-1eac5dad5732,2,3110.48,CARD,TRANSFER,IN,DEV-d97397,2026-05-25T19:15:26.444001,8512.42,1
9b2c27af-c811-47c7-b7c6-3a160ccaa6b2,2,11555.48,UPI,DEPOSIT,US,KNOWN-2,2026-05-25T20:32:26.444001,11622.9,2
02c8711a-5b9b-4222-b11c-f6c39028a634,2,11069.96,CARD,WITHDRAWAL,IN,KNOWN-2,2026-05-25T21:07:26.444001,23178.379999999997,3
4f713e16-85cd-4f16-9a3b-ef1b26a3a72e,2,6635.94,CARD,DEPOSIT,IN,KNOWN-2,2026-05-25T22:35:26.444001,34248.34,4
6b9ddb13-0520-419d-90d1-8cc45a0db570,2,7641.84,CARD,TRANSFER,IN,KNOWN-2,2026-05-25T23:01:26.444001,40884.28,5
d26ed9b0-1cd6-40ca-9398-7a69cb6da026,2,3605.69,CARD,DEPOSIT,IN,KNOWN-2,2026-05-26T00:34:26.444001,48526.119999999995,6
ed98f029-74c0-4003-a0be-a6bb809ced3b,2,6124.41,CARD,WITHDRAWAL,IN,DEV-e352e3,2026-05-26T01:20:26.444001,52131.81,7
8e8d09a7-ca17-4ad4-8566-0519e746e38d,2,10100.28,CARD,DEPOSIT,IN,KNOWN-2,2026-05-26T01:50:26.444001,58256.22,8
