transaction_id,user_id,amount,channel,transaction_type,source_account,target_account,country,device_id,transaction_time,total_amount_last_24h,txn_count_last_24h,transaction_status,is_fraud,soft_risk_score
38bf658d-9dde-492c-a5e2-ff5b73ca1fdf,5020,393.23,CARD,TRANSFER,ACC-186,ACC-290,HK,DEV_REGULAR,2026-01-29 04:36:22.389375+00:00,3197.09,4,APPROVED,0,25
c3a4b674-c312-4fea-9a88-f07361cc8d72,8502,1223.51,UPI,TRANSFER,ACC-105,ACC-292,IN,DEV_REGULAR,2026-01-29 04:36:22.389538+00:00,8200.24,3,APPROVED,0,10
4bbc34b2-8029-4560-9e6e-2799d533f0f7,8353,157.95,CARD,TRANSFER,ACC-130,ACC-233,IN,DEV_REGULAR,2026-01-29 04:36:22.389551+00:00,8492.33,5,APPROVED,0,25
33a34267-5f53-4e99-b6d8-71862a7c5de7,6616,3144.95,CARD,TRANSFER,ACC-154,ACC-248,US,DEV_REGULAR,2026-01-29 04:36:22.389559+00:00,8650.36,4,APPROVED,0,25
5311e03d-03f6-4837-b94a-62077b75459f,1237,746.85,UPI,TRANSFER,ACC-110,ACC-257,HK,DEV_REGULAR,2026-01-29 04:36:22.389567+00:00,7164.52,5,APPROVED,0,10
f87592cd-2072-4a65-b8f8-8cd37006d3a6,1843,2572.77,NET_BANKING,WITHDRAWAL,ACC-150,ACC-293,IN,DEV_REGULAR,2026-01-29 04:36:22.389573+00:00,2285.18,1,APPROVED,0,25
77f4e961-5e64-4317-8af1-96df6782d69b,3620,3534.89,UPI,TRANSFER,ACC-119,ACC-219,IN,DEV_REGULAR,2026-01-29 04:36:22.389579+00:00,4744.69,5,APPROVED,0,10
4c3a7aab-faa5-4dd6-b53f-dd86de40f7d4,6915,23523.58,CARD,TRANSFER,ACC-116,ACC-227,IN,DEV_Y,2026-01-29 04:36:22.389586+00:00,98356.35,19,APPROVED,0,45
a6745881-5cd4-48c6-a341-6f98e36e291e,3976,2987.73,UPI,DEPOSIT,ACC-181,ACC-246,SG,DEV_REGULAR,2026-01-29 04:36:22.389606+00:00,2141.05,2,APPROVED,0,10
7c0659cd-d189-4e13-a8a4-3bcae56a5650,8381,3977.32,CARD,TRANSFER,ACC-113,ACC-273,HK,DEV_REGULAR,2026-01-29 04:36:22.389613+00:00,1716.36,1,APPROVED,0,25
02f43dbb-795c-487b-82f6-f8f95e6b1268,4977,38267.59,NET_BANKING,WITHDRAWAL,ACC-114,ACC-227,US,DEV_Y,2026-01-29 04:36:22.389621+00:00,35133.71,10,APPROVED,0,65
af5bfb67-ae32-4fc0-8b91-0a7e65f1fbbc,8390,2681.24,CARD,WITHDRAWAL,ACC-194,ACC-262,US,DEV_REGULAR,2026-01-29 04:36:22.389628+00:00,9509.68,4,APPROVED,0,40
e485823b-fe7e-4865-a304-3802db2a50a5,2610,4262.17,CARD,TRANSFER,ACC-161,ACC-244,IN,DEV_REGULAR,2026-01-29 04:36:22.389634+00:00,2995.27,3,APPROVED,0,25
fecec679-5b0d-471e-a0ab-48a5be028975,7512,23079.93,UPI,DEPOSIT,ACC-112,ACC-295,SG,NEW_DEV_Z,2026-01-29 04:36:22.389646+00:00,91364.84,14,APPROVED,0,50
68939eb0-8eb5-43a0-94cb-94135aab2492,8987,245.21,CARD,TRANSFER,ACC-103,ACC-236,SG,DEV_REGULAR,2026-01-29 04:36:22.389652+00:00,1143.48,3,APPROVED,0,25
733af81a-1b22-412c-8171-7554575560f6,3273,2017.61,NET_BANKING,WITHDRAWAL,ACC-177,ACC-249,IN,DEV_REGULAR,2026-01-29 04:36:22.389658+00:00,8585.18,4,APPROVED,0,25
59f4fdb6-c837-4185-bc8f-1d76c32f546b,1187,622.63,UPI,DEPOSIT,ACC-137,ACC-229,US,DEV_REGULAR,2026-01-29 04:36:22.389663+00:00,593.1,3,APPROVED,0,10
1f71c043-f797-4f48-b8e9-f42352fc7aa6,9132,3506.29,UPI,TRANSFER,ACC-135,ACC-203,IN,DEV_REGULAR,2026-01-29 04:36:22.389675+00:00,5296.79,5,APPROVED,0,10
45fb387d-608d-4e5d-a0c6-72e7a86b47ca,9792,1619.46,NET_BANKING,DEPOSIT,ACC-200,ACC-250,IN,DEV_REGULAR,2026-01-29 04:36:22.389680+00:00,384.35,5,APPROVED,0,10
6f099ee3-6252-4c9e-b11f-3208f8d172aa,5659,2094.11,UPI,TRANSFER,ACC-175,ACC-256,HK,DEV_REGULAR,2026-01-29 04:36:22.389685+00:00,1063.05,5,APPROVED,0,10
4b68cf00-7b48-4b96-86f1-c0958ed14086,7439,2698.12,NET_BANKING,WITHDRAWAL,ACC-155,ACC-262,HK,DEV_REGULAR,2026-01-29 04:36:22.389691+00:00,8163.4,4,APPROVED,0,25
2174d922-e9ad-4697-ae61-6eb609b695ce,3570,2326.46,UPI,TRANSFER,ACC-167,ACC-246,US,DEV_REGULAR,2026-01-29 04:36:22.389696+00:00,2094.27,1,APPROVED,0,10
6d2a019a-56c9-482c-98fd-b525ab613275,9849,3496.58,CARD,WITHDRAWAL,ACC-114,ACC-217,HK,DEV_REGULAR,2026-01-29 04:36:22.389702+00:00,1335.6,3,APPROVED,0,40
9b3c3ca0-b1cf-4356-815f-7abe74ffaf4f,7929,4860.9,NET_BANKING,WITHDRAWAL,ACC-114,ACC-238,SG,DEV_REGULAR,2026-01-29 04:36:22.389713+00:00,1257.91,5,APPROVED,0,25
e1a4dc6f-026b-4e31-bb38-c947b951710f,1492,541.04,CARD,DEPOSIT,ACC-196,ACC-269,SG,DEV_REGULAR,2026-01-29 04:36:22.389719+00:00,3817.71,1,APPROVED,0,25
a862758c-ad22-4a0d-95b3-4aa8defed23e,1965,1150.53,UPI,DEPOSIT,ACC-169,ACC-230,IN,DEV_REGULAR,2026-01-29 04:36:22.389729+00:00,8636.64,4,APPROVED,0,10
e30fab09-e7d6-4ba0-b88c-b0aa3806c127,5251,780.44,CARD,WITHDRAWAL,ACC-150,ACC-203,HK,DEV_REGULAR,2026-01-29 04:36:22.389734+00:00,4497.36,2,APPROVED,0,40
0454ab5c-3e36-4b4d-b761-eae0df540fd5,8190,2838.42,CARD,TRANSFER,ACC-154,ACC-245,SG,DEV_REGULAR,2026-01-29 04:36:22.389739+00:00,8192.38,5,APPROVED,0,25
68eab4ef-349d-4773-839c-1d35c8a06f03,3002,43599.25,CARD,WITHDRAWAL,ACC-196,ACC-202,IN,NEW_DEV_Z,2026-01-29 04:36:22.389745+00:00,46308.3,12,APPROVED,0,100
64f45469-ebcc-4504-9ac9-c06be9710e18,7277,1121.98,UPI,DEPOSIT,ACC-137,ACC-220,SG,DEV_REGULAR,2026-01-29 04:36:22.389756+00:00,738.09,1,APPROVED,0,10
397cac02-4280-4efc-9f3a-dd455fde103f,4376,161.92,UPI,DEPOSIT,ACC-129,ACC-273,IN,DEV_REGULAR,2026-01-29 04:36:22.389801+00:00,7491.95,3,APPROVED,0,10
